model,dataset,comparison,limit_a,limit_b,acc_before,acc_after,delta_pp,p_value,cohens_h,significant
qwenqwen3-32b_o1,boolq,1000→2000,1000,2000,0.44,0.48,3.9999999999999982,0.6882094395496217,0.08027920804079924,ns
qwenqwen3-32b_o1,boolq,2000→4000,2000,4000,0.48,0.52,4.0000000000000036,0.6891565167793514,0.08002134870797795,ns
qwenqwen3-32b_o1,boolq,4000→8000,4000,8000,0.52,0.48,-4.0000000000000036,0.6891565167793514,-0.08002134870797795,ns
qwenqwen3-32b_o1,arc-easy,300→500,300,500,0.42,0.8,38.00000000000001,9.802113162415971e-05,0.804191761745195,***
qwenqwen3-32b_o1,arc-easy,500→1000,500,1000,0.8,0.98,17.999999999999993,0.004022237272055307,0.6435011087932851,**
qwenqwen3-32b_o1,arc-easy,1000→2000,1000,2000,0.98,1.0,2.0000000000000018,0.31487864133641974,0.28379410920832715,ns
qwenqwen3-32b_o1,arc-easy,2000→4000,2000,4000,1.0,0.96,-4.0000000000000036,0.1531274510196694,-0.40271584158066176,ns
qwenqwen3-32b_o1,arc-easy,4000→8000,4000,8000,0.96,0.96,0.0,1.0,0.0,ns
qwenqwen3-32b_o1,gpqa,300→500,300,500,0.24,0.28,4.0000000000000036,0.6484182011551725,0.09125227730012075,ns
qwenqwen3-32b_o1,gpqa,500→1000,500,1000,0.28,0.3,1.9999999999999962,0.82557535933826,0.04408182732833521,ns
qwenqwen3-32b_o1,gpqa,1000→2000,1000,2000,0.3,0.44,14.000000000000002,0.14709678630472145,0.29122696367270007,ns
qwenqwen3-32b_o1,gpqa,2000→4000,2000,4000,0.44,0.52,8.000000000000002,0.4233396415824435,0.1603005567487772,ns
qwenqwen3-32b_o1,gpqa,4000→8000,4000,8000,0.52,0.44,-8.000000000000002,0.4233396415824435,-0.1603005567487772,ns
QwenQwQ-32B-Preview,gsm8k,300→500,300,500,0.34,0.82,47.99999999999999,1.1582724270819966e-06,1.0202277529211856,***
QwenQwQ-32B-Preview,gsm8k,500→1000,500,1000,0.82,0.92,10.000000000000009,0.1370801690052441,0.3027849567452443,ns
QwenQwQ-32B-Preview,gsm8k,1000→2000,1000,2000,0.92,0.98,5.999999999999995,0.16866861888781548,0.2897189952147694,ns
QwenQwQ-32B-Preview,gsm8k,2000→4000,2000,4000,0.98,0.98,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,gsm8k,4000→8000,4000,8000,0.98,0.98,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,boolq,300→500,300,500,0.88,0.88,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,boolq,500→1000,500,1000,0.88,0.88,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,boolq,1000→2000,1000,2000,0.88,0.88,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,boolq,2000→4000,2000,4000,0.88,0.88,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,boolq,4000→8000,4000,8000,0.88,0.88,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,arc-easy,300→500,300,500,0.62,0.86,24.0,0.006223554486728178,0.5614364678940664,**
QwenQwQ-32B-Preview,arc-easy,500→1000,500,1000,0.86,0.9,4.0000000000000036,0.5382526579885003,0.1234928990685824,ns
QwenQwQ-32B-Preview,arc-easy,1000→2000,1000,2000,0.9,0.9,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,arc-easy,2000→4000,2000,4000,0.9,0.9,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,arc-easy,4000→8000,4000,8000,0.9,0.9,0.0,1.0,0.0,ns
QwenQwQ-32B-Preview,gpqa,300→500,300,500,0.34,0.56,22.000000000000004,0.027030076547772452,0.44601936968941813,*
QwenQwQ-32B-Preview,gpqa,500→1000,500,1000,0.56,0.54,-2.0000000000000018,0.8406926603054858,-0.04020430236112915,ns
QwenQwQ-32B-Preview,gpqa,1000→2000,1000,2000,0.54,0.58,3.9999999999999925,0.6870133442333657,0.08060507291825147,ns
QwenQwQ-32B-Preview,gpqa,2000→4000,2000,4000,0.58,0.64,6.000000000000005,0.5385089712166171,0.1231034562564175,ns
QwenQwQ-32B-Preview,gpqa,4000→8000,4000,8000,0.64,0.64,0.0,1.0,0.0,ns
